Date,Open,High,Low,Close,Volume
2018-01-02,108.48,105.46,108.48,108.48,5920980
2018-01-03,113.22,117.99,113.22,113.59,6805879
2018-01-04,106.31,109.28,106.31,109.28,7166251
2018-01-05,126.93,126.93,126.7,126.7,7851204
2018-01-08,116.58,115.99,116.58,116.58,5711782
2018-01-09,132.35,95.44,132.35,132.35,6179363
2018-01-10,117.63,103.1,117.63,117.63,6170081
2018-01-11,128.44,98.01,128.44,128.44,9473756
2018-01-12,135.54,114.37,135.54,135.54,6830262
2018-01-15,114.31,134.03,95.06,113.15,9805645
2018-01-16,130.19,120.89,130.19,130.19,5095695
2018-01-17,114.07,106.95,114.07,114.07,7332447
2018-01-18,108.5,99.99,108.5,108.5,9877850
2018-01-19,130.58,130.58,127.68,129.82,5131145
2018-01-22,118.36,134.38,118.36,132.28,5712699
2018-01-23,132.99,95.94,132.99,132.99,8034988
2018-01-24,114.5,114.07,114.5,114.5,9211164
2018-01-25,131.29,128.08,131.29,131.29,8898537
2018-01-26,118.47,118.47,95.44,101.4,7064356
2018-01-29,108.25,102.77,108.25,108.25,6121960
2018-01-30,117.5,136.59,98.3,102.1,7833010
2018-01-31,138.36,117.14,138.36,138.36,9154402
2018-02-01,122.77,138.79,122.77,122.77,9772754
2018-02-02,105.39,105.39,96.21,105.39,8385338
2018-02-05,104.68,104.68,103.65,104.68,9903229
2018-02-06,105.66,105.66,105.42,105.66,6162523
2018-02-07,125.73,138.43,121.97,121.97,6410731
2018-02-08,114.5,113.3,114.5,114.5,5973450
2018-02-09,126.35,96.9,126.35,126.35,5252470
2018-02-12,123.06,113.33,123.06,123.06,9759292
2018-02-13,111.51,109.84,111.51,111.51,8408752
2018-02-14,111.74,137.27,108.77,108.77,9080399
2018-02-15,130.9,105.27,130.9,130.9,8752055
2018-02-16,130.59,120.21,130.59,130.59,8184016
2018-02-19,119.08,119.83,119.08,119.83,8034364
2018-02-20,124.63,107.8,124.63,124.63,6971822
2018-02-21,126.5,126.5,100.7,101.98,8371520
2018-02-22,106.96,97.02,106.96,106.96,7967067
2018-02-23,127.96,127.96,101.81,127.96,7928482
2018-02-26,107.8,107.39,107.8,107.8,6632993
2018-02-27,123.02,129.78,123.02,123.02,9873695
2018-02-28,127.7,134.49,127.7,127.7,5068697
2018-03-01,120.37,129.13,98.71,129.13,9955152
2018-03-02,129.58,137.82,121.03,121.03,7548706
2018-03-05,118.75,101.53,118.75,118.75,9324842
2018-03-06,129.44,138.48,110.6,110.6,6298151
2018-03-07,125.64,125.64,117.38,117.38,8712187
2018-03-08,122.9,138.95,122.9,137.7,8719821
2018-03-09,124.37,138.58,123.84,125.52,7462047
2018-03-12,134.87,95.7,134.87,134.87,5242906
2018-03-13,133.48,134.8,95.17,102.73,8103752
2018-03-14,113.2,102.0,113.2,113.2,5614928
2018-03-15,111.11,102.57,111.11,111.11,6589100
2018-03-16,108.68,118.79,107.44,118.79,9832707
2018-03-19,109.25,136.35,104.45,136.04,9979986
2018-03-20,126.96,118.85,126.96,126.96,8792367
2018-03-21,124.67,135.11,124.67,124.67,7308188
2018-03-22,130.67,98.0,130.67,130.67,5637750
2018-03-23,133.89,112.17,133.89,133.89,8085686
2018-03-26,125.17,133.02,125.17,125.17,5234793
2018-03-27,106.0,106.0,98.87,106.0,7802344
2018-03-28,98.66,98.66,98.57,98.66,9463930
2018-03-29,130.8,137.48,130.8,130.8,6784907
2018-03-30,120.75,126.93,120.75,120.75,7596578
2018-04-02,139.59,95.59,139.59,139.59,7898567
2018-04-03,118.96,97.76,118.96,118.96,8817171
2018-04-04,106.03,114.59,106.03,114.59,6015190
2018-04-05,117.53,130.25,117.53,117.53,7580692
2018-04-06,132.01,139.78,115.12,130.0,8815189
2018-04-09,119.37,119.37,109.66,109.66,7445470
2018-04-10,118.13,105.03,118.13,118.13,6066064
2018-04-11,120.49,123.14,99.52,107.08,6437050
2018-04-12,129.0,100.06,129.0,129.0,7903393
2018-04-13,126.9,107.95,126.9,126.9,7846772
2018-04-16,109.45,109.45,107.6,109.45,9112550
2018-04-17,135.3,137.75,135.3,135.3,6121667
2018-04-18,122.72,134.96,122.72,122.72,6739177
2018-04-19,110.39,96.24,110.39,110.39,9599386
2018-04-20,137.02,125.2,137.02,137.02,8319615
2018-04-23,124.44,131.13,106.15,126.35,8958445
2018-04-24,104.49,134.11,103.38,104.01,7063369
2018-04-25,117.02,117.02,108.84,115.1,9940451
2018-04-26,121.33,121.33,115.74,121.33,6021720
2018-04-27,126.28,107.0,126.28,126.28,7956538
2018-04-30,127.6,127.6,117.3,124.08,7541196
2018-05-01,126.11,138.76,121.6,138.76,7282127
2018-05-02,119.12,123.84,119.12,119.12,9446044
2018-05-03,113.92,123.87,96.07,123.87,7502182
2018-05-04,123.35,95.08,123.35,123.35,7413498
2018-05-07,128.25,111.8,128.25,128.25,5098267
2018-05-08,132.47,101.96,132.47,132.47,8806441
2018-05-09,111.1,127.3,104.64,104.64,9890777
2018-05-10,124.13,126.7,96.49,96.91,9602690
2018-05-11,107.6,138.3,100.06,129.36,8235406
2018-05-14,128.65,127.04,128.65,128.65,6565695
2018-05-15,121.52,109.58,121.52,121.52,5888586
2018-05-16,117.71,124.4,98.15,124.4,7158380
2018-05-17,131.76,115.03,131.76,131.76,8254272
2018-05-18,122.76,133.08,115.24,115.24,7808149
2018-05-21,108.29,113.4,104.99,113.4,6616693
2018-05-22,118.37,100.63,118.37,118.37,6828998
2018-05-23,122.13,101.48,122.13,122.13,6565895
2018-05-24,135.07,133.6,135.07,135.07,7793794
2018-05-25,117.2,102.75,117.2,117.2,6425105
2018-05-28,131.63,138.94,101.91,135.0,8174244
2018-05-29,125.29,112.23,125.29,125.29,8238011
2018-05-30,123.83,105.31,123.83,123.83,9308845
2018-05-31,137.99,134.57,137.99,137.99,5604431
2018-06-01,134.37,119.28,134.37,134.37,7820078
2018-06-04,122.71,106.38,122.71,122.71,7412572
2018-06-05,112.77,99.5,112.77,112.77,5525357
2018-06-06,100.78,135.24,98.59,98.77,9019089
2018-06-07,113.5,109.26,113.5,113.5,8172100
2018-06-08,108.42,108.42,104.7,108.42,6394313
2018-06-11,100.46,100.46,96.32,100.46,8548379
2018-06-12,138.42,100.62,138.42,138.42,5982861
2018-06-13,137.62,135.26,137.62,137.62,6532960
2018-06-14,125.31,139.32,125.31,125.31,5230120
2018-06-15,138.52,131.97,138.52,138.52,7218938
2018-06-18,138.8,137.75,138.8,138.8,7678397
2018-06-19,121.36,134.92,112.96,122.14,5567606
2018-06-20,134.83,113.03,134.83,134.83,7175090
2018-06-21,114.54,137.67,114.54,131.19,8463142
2018-06-22,135.39,134.14,135.39,135.39,5587557
2018-06-25,130.78,133.83,130.78,133.83,5321309
2018-06-26,114.25,114.25,111.44,114.25,7199387
2018-06-27,118.37,118.37,96.64,118.37,8966276
2018-06-28,119.89,119.89,119.51,119.51,7908351
2018-06-29,116.99,122.14,116.99,117.01,8358840
2018-07-02,113.0,102.07,113.0,113.0,7754248
2018-07-03,119.02,109.89,119.02,119.02,7043452
2018-07-04,137.84,113.06,137.84,137.84,5823067
2018-07-05,113.98,118.13,99.53,118.13,8003150
2018-07-06,136.55,129.73,136.55,136.55,7093631
2018-07-09,133.58,99.92,133.58,133.58,8601279
2018-07-10,127.86,117.75,127.86,127.86,5636633
2018-07-11,115.64,136.21,115.64,115.64,8413179
2018-07-12,132.14,130.85,132.14,132.14,5030045
2018-07-13,131.76,115.51,131.76,131.76,5529033
2018-07-16,127.65,98.14,127.65,127.65,7756636
2018-07-17,126.5,127.27,126.5,126.5,9616271
